repo_name,component_id,link_url,node_1_type,node_1_id,node_1_author,node_1_num_comment,node_2_type,node_2_id,node_2_author,node_2_num_comments,Link Type,Quotes
Project-OSRM/osrm-backend,44062,https://github.com/Project-OSRM/osrm-backend/issues/802#issuecomment-28694591,issue,802,https://github.com/clintharris,27,issue,798,https://github.com/clintharris,9,context,"In light of #798, what's your ..."
Project-OSRM/osrm-backend,44062,https://github.com/Project-OSRM/osrm-backend/issues/3839#issue-215347211,issue,3839,https://github.com/Pcosmin,3,issue,802,https://github.com/clintharris,27,context,"I found this comment from DennisOSRM from Nov 18, 2013
""Make sure that you load the correct files. Right now, you will need around 48 GB of RAM to run the server on the planet-wide dataset."" (#802)"
,,,,,,,,,,,,
Rapptz/discord.py,49179,https://github.com/Rapptz/discord.py/pull/2075#issue-432748710,pull_request,2075,https://github.com/diceroll123,1,pull_request,2074,https://github.com/diceroll123,0,depends,Heavily relies on #2074 being merged.
,,,,,,,,,,,,
mlflow/mlflow,39967,https://github.com/mlflow/mlflow/pull/1769#issue-483460505,pull_request,1769,https://github.com/Ben-Epstein,2,issue,1750,https://github.com/Ben-Epstein,6,fixes,This is a PR to fix issue #1750 adding ...
mlflow/mlflow,39967,https://github.com/mlflow/mlflow/issues/2201#issue-537552030,issue,2201,https://github.com/Tradunsky,15,pull_request,1769,https://github.com/Ben-Epstein,2,context,#1769 # System information
mlflow/mlflow,39967,https://github.com/mlflow/mlflow/issues/2455#issuecomment-589289105,issue,2455,https://github.com/Tradunsky,2,issue,2201,https://github.com/Tradunsky,15,context,@AveshCSingh Here is the error I mentioned in #2201 (comment)
,,,,,,,,,,,,
casesandberg/react-color,16426,https://github.com/casesandberg/react-color/pull/703#issue-608820815,pull_request,703,https://github.com/pizza3,1,issue,547,https://github.com/BernardoFBBraga,2,fixes,
,,,,,,,,,,,,
MithrilJS/mithril.js,36000,https://github.com/MithrilJS/mithril.js/issues/2392#issue-418906808,issue,2392,https://github.com/CarlLeth,1,issue,2333,https://github.com/qgustavor,0,duplicate,Duplicate of #2333
MithrilJS/mithril.js,36000,https://github.com/MithrilJS/mithril.js/pull/2335#issue-389212439,pull_request,2335,https://github.com/dead-claudia,3,issue,2313,https://github.com/dead-claudia,0,fixes,Edit: Fixes #2313
MithrilJS/mithril.js,36000,https://github.com/MithrilJS/mithril.js/pull/2335#issue-389212439,pull_request,2335,https://github.com/dead-claudia,3,issue,2333,https://github.com/qgustavor,0,fixes,Fixes #2333
,,,,,,,,,,,,
