key,repo_name,size,diameter,density,component_authors,url,comment_count,repo_contributors,component_nodes
592,Activiti/Activiti,6,2,0.16666666666666666,https://github.com/codecov-io|https://github.com/erdemedeiros|https://github.com/mteodori|https://github.com/apps/mergify|https://github.com/codecov-commenter|https://github.com/igdianov|https://github.com/XenoAmess,https://github.com/Activiti/Activiti/issues/3296,9,197,3296|3274|3306|3246|3215|3287
594,Activiti/Activiti,3,2,0.3333333333333333,https://github.com/zoltanpalfi|https://github.com/grantart|https://github.com/erdemedeiros|https://github.com/almerico|https://github.com/mteodori|https://github.com/apps/mergify|https://github.com/CLAassistant|https://github.com/codecov-commenter|https://github.com/apps/codecov|https://github.com/XenoAmess,https://github.com/Activiti/Activiti/issues/3304,7,197,3304|2843|3303
600,Activiti/Activiti,2,1,0.5,https://github.com/almerico|https://github.com/mteodori|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3132,0,197,3132|3295
601,Activiti/Activiti,2,1,0.5,https://github.com/mteodori|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3291,0,197,3291|3294
606,Activiti/Activiti,2,1,0.5,https://github.com/zoltanpalfi|https://github.com/codecov-io|https://github.com/mteodori|https://github.com/apps/mergify|https://github.com/almerico|https://github.com/XenoAmess,https://github.com/Activiti/Activiti/issues/3154,1,197,3154|3285
609,Activiti/Activiti,2,1,0.5,https://github.com/mteodori|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3281,0,197,3281|3273
612,Activiti/Activiti,2,1,0.5,https://github.com/apps/mergify|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3277,1,197,3277|3278
619,Activiti/Activiti,2,1,0.5,https://github.com/erdemedeiros|https://github.com/daisuke-yoshimoto|https://github.com/mteodori|https://github.com/salaboy|https://github.com/ryandawsonuk,https://github.com/Activiti/Activiti/issues/1640,2,197,1640|3268
620,Activiti/Activiti,6,2,0.16666666666666666,https://github.com/apps/codecov|https://github.com/codecov-io|https://github.com/mteodori|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3265,3,197,3265|3266|3267|3239|3152|3255
621,Activiti/Activiti,2,1,0.5,https://github.com/mteodori|https://github.com/apps/dependabot-preview|https://github.com/codecov-io|https://github.com/apps/codecov,https://github.com/Activiti/Activiti/issues/3264,5,197,3264|3102
622,Activiti/Activiti,2,1,0.5,https://github.com/apps/mergify|https://github.com/mteodori|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3262,0,197,3262|3263
626,Activiti/Activiti,3,2,0.3333333333333333,https://github.com/codecov-io|https://github.com/erdemedeiros|https://github.com/apps/dependabot-preview|https://github.com/mteodori|https://github.com/apps/codecov,https://github.com/Activiti/Activiti/issues/3258,7,197,3258|3221|3205
628,Activiti/Activiti,7,5,0.14285714285714285,https://github.com/nichuanfang|https://github.com/erdemedeiros|https://github.com/LuomingXu|https://github.com/VitoAlbano|https://github.com/rock007|https://github.com/mteodori|https://github.com/xiaomahu2021|https://github.com/rockjl|https://github.com/nandhagit|https://github.com/apps/codecov|https://github.com/apps/mergify|https://github.com/mathieubodin|https://github.com/salaboy|https://github.com/ggrnd0|https://github.com/igdianov|https://github.com/gitouyoung|https://github.com/ryandawsonuk|https://github.com/hoteye,https://github.com/Activiti/Activiti/issues/1904,23,197,1904|1399|2904|2938|1850|2845|3256
