repo_name,component_id,link_url,node_1_type,node_1_id,node_1_author,node_1_num_comment,node_2_type,node_2_id,node_2_author,node_2_num_commentslink_type
deployphp/deployer,20267,https://github.com/deployphp/deployer/pull/2526#issue-868021186,pull_request,2526,https://github.com/Schrank,0,issue,2525,https://github.com/Schrank,0,fixes
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/636#issue-482858672,issue,636,https://github.com/yury-n,2,pull_request,670,https://github.com/casesandberg,0,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/pull/258#issue-180790926,pull_request,258,https://github.com/louh,2,issue,216,https://github.com/louh,4,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/644#issue-494250023,issue,644,https://github.com/PCMACHero,4,pull_request,670,https://github.com/casesandberg,0,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issue-254850144,issue,413,https://github.com/casesandberg,16,issue,395,https://github.com/sirjamesgray,0,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/652#issue-514450791,issue,652,https://github.com/mi6gan,1,issue,504,https://github.com/casesandberg,2,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/pull/401#issue-254161458,pull_request,401,https://github.com/SpencerDawson,0,issue,399,https://github.com/scottkunkel,10,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/644#issuecomment-561717646,issue,644,https://github.com/PCMACHero,4,issue,656,https://github.com/mikalai-sauchanka,1,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/371#issue-239416855,issue,371,https://github.com/sergey-rogatin,1,issue,404,https://github.com/casesandberg,0,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/548#issuecomment-429383580,issue,548,https://github.com/earslap,2,issue,539,https://github.com/unkernet,1,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/540#issue-362959217,issue,540,https://github.com/StructByLightning,1,issue,216,https://github.com/louh,4,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issuecomment-386885224,issue,413,https://github.com/casesandberg,16,pull_request,511,https://github.com/ekoeryanto,1,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/620#issuecomment-572171082,issue,620,https://github.com/sjwl123,5,pull_request,670,https://github.com/casesandberg,0,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/423#issuecomment-329303573,issue,423,https://github.com/doronbrikman,4,issue,413,https://github.com/casesandberg,16,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/684#issuecomment-593287246,issue,684,https://github.com/essencient,5,issue,683,https://github.com/Maadtin,1,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/686#issue-575863359,issue,686,https://github.com/SpaceWarf,1,issue,684,https://github.com/essencient,5,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/305#issuecomment-368937283,issue,305,https://github.com/gittestcoder,14,issue,413,https://github.com/casesandberg,16,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/pull/316#issue-198733188,pull_request,316,https://github.com/alampros,2,issue,307,https://github.com/qasid,2,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/701#issuecomment-620135800,issue,701,https://github.com/Wink007,4,issue,694,https://github.com/ashot-israelyan,8,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/438#issuecomment-341635364,issue,438,https://github.com/jomnius,6,issue,413,https://github.com/casesandberg,16,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issue-254850144,issue,413,https://github.com/casesandberg,16,issue,184,https://github.com/lgg,11,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/310#issuecomment-382884765,issue,310,https://github.com/stevenxxiu,6,issue,504,https://github.com/casesandberg,2,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issue-254850144,issue,413,https://github.com/casesandberg,16,issue,313,https://github.com/maximzah,5,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issue-254850144,issue,413,https://github.com/casesandberg,16,pull_request,316,https://github.com/alampros,2,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/620#issuecomment-611482845,issue,620,https://github.com/sjwl123,5,issue,701,https://github.com/Wink007,4,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/445#issue-278990085,issue,445,https://github.com/ant45de,2,issue,404,https://github.com/casesandberg,0,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issue-254850144,issue,413,https://github.com/casesandberg,16,issue,66,https://github.com/vmasto,3,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/508#issuecomment-398012785,issue,508,https://github.com/alduro,12,issue,455,https://github.com/vudduu,4,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issue-254850144,issue,413,https://github.com/casesandberg,16,issue,215,https://github.com/jackparmer,23,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/216#issue-174551488,issue,216,https://github.com/louh,4,issue,404,https://github.com/casesandberg,0,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issue-254850144,issue,413,https://github.com/casesandberg,16,issue,359,https://github.com/sergop321,4,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issue-254850144,issue,413,https://github.com/casesandberg,16,issue,364,https://github.com/jimmylinh,4,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issue-254850144,issue,413,https://github.com/casesandberg,16,pull_request,366,https://github.com/pconerly,7,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/621#issue-452964176,issue,621,https://github.com/tanth1993,1,pull_request,670,https://github.com/casesandberg,0,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/365#issuecomment-310524468,issue,365,https://github.com/pconerly,4,pull_request,369,https://github.com/pconerly,1,other
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/pull/670#issue-546997262,pull_request,670,https://github.com/casesandberg,0,pull_request,632,https://github.com/kgapich,0,other
Activiti/Activiti,430,https://github.com/Activiti/Activiti/issues/3518#issuecomment-765341128,issue,3518,https://github.com/Raluca-Plugariu,1,pull_request,3519,https://github.com/Raluca-Plugariu,2,other
mgonto/restangular,34735,https://github.com/mgonto/restangular/issues/1376#issue-156734982,issue,1376,https://github.com/turoni,2,issue,420,https://github.com/zoheb,27,duplicate
mgonto/restangular,34735,https://github.com/mgonto/restangular/issues/420#issuecomment-76689677,issue,420,https://github.com/zoheb,27,pull_request,1068,https://github.com/steinerj,10,other
mgonto/restangular,34735,https://github.com/mgonto/restangular/pull/1068#issuecomment-226704399,pull_request,1068,https://github.com/steinerj,10,pull_request,1392,https://github.com/madflow,4,other
mgonto/restangular,34735,https://github.com/mgonto/restangular/issues/720#issuecomment-44606412,issue,720,https://github.com/ZAYEC77,2,issue,420,https://github.com/zoheb,27,other
mgonto/restangular,34735,https://github.com/mgonto/restangular/issues/538#issuecomment-33058227,issue,538,https://github.com/joshikeerti,1,issue,420,https://github.com/zoheb,27,other
apache/dubbo,13361,https://github.com/apache/dubbo/pull/2279#issuecomment-413785303,pull_request,2279,https://github.com/wanwanpp,3,issue,2312,https://github.com/diecui1202,1,other
apache/dubbo,13361,https://github.com/apache/dubbo/pull/2280#issue-350267093,pull_request,2280,https://github.com/noahziheng,1,issue,1713,https://github.com/ralf0131,4,fixes
apache/dubbo,13361,https://github.com/apache/dubbo/pull/2250#issue-350252537,pull_request,2250,https://github.com/Chancelife,2,issue,1713,https://github.com/ralf0131,4,other
apache/dubbo,13361,https://github.com/apache/dubbo/pull/2285#issue-350267704,pull_request,2285,https://github.com/jrjsjtu,0,issue,1713,https://github.com/ralf0131,4,other
apache/dubbo,13361,https://github.com/apache/dubbo/pull/2293#issue-350272334,pull_request,2293,https://github.com/huchuanling,0,issue,1713,https://github.com/ralf0131,4,other
apache/dubbo,13361,https://github.com/apache/dubbo/pull/2264#issue-350259986,pull_request,2264,https://github.com/131250105,1,issue,1713,https://github.com/ralf0131,4,other
apache/dubbo,13361,https://github.com/apache/dubbo/pull/2266#issue-350260588,pull_request,2266,https://github.com/hexiloveecho,0,issue,1713,https://github.com/ralf0131,4,other
tensorpack/tensorpack,58936,https://github.com/tensorpack/tensorpack/issues/1181#issue-442235138,issue,1181,https://github.com/zxpeter,4,issue,1153,https://github.com/zhou-git,7,other
tensorpack/tensorpack,58936,https://github.com/tensorpack/tensorpack/issues/1533#issue-946197671,issue,1533,https://github.com/ck6698000,1,issue,631,https://github.com/twangnh,4,other
tensorpack/tensorpack,58936,https://github.com/tensorpack/tensorpack/issues/1181#issue-442235138,issue,1181,https://github.com/zxpeter,4,issue,325,https://github.com/kdplus,13,other
tensorpack/tensorpack,58936,https://github.com/tensorpack/tensorpack/issues/209#issuecomment-289578113,issue,209,https://github.com/JesseYang,3,issue,191,https://github.com/JesseYang,11,other
tensorpack/tensorpack,58936,https://github.com/tensorpack/tensorpack/issues/916#issue-366716726,issue,916,https://github.com/jwook1004,11,issue,191,https://github.com/JesseYang,11,other
tensorpack/tensorpack,58936,https://github.com/tensorpack/tensorpack/issues/1153#issue-434152051,issue,1153,https://github.com/zhou-git,7,issue,1142,https://github.com/zhou-git,4,other
MithrilJS/mithril.js,36152,https://github.com/MithrilJS/mithril.js/pull/2032#issuecomment-348003943,pull_request,2032,https://github.com/pygy,10,pull_request,2034,https://github.com/pygy,12,other
MithrilJS/mithril.js,36152,https://github.com/MithrilJS/mithril.js/pull/2034#issue-277903308,pull_request,2034,https://github.com/pygy,12,issue,2036,https://github.com/pygy,1,other
Activiti/Activiti,185,https://github.com/Activiti/Activiti/pull/3788#issue-1084980977,pull_request,3788,https://github.com/erdemedeiros,0,issue,3787,https://github.com/erdemedeiros,0,other
Activiti/Activiti,185,https://github.com/Activiti/Activiti/pull/3799#issue-1101410215,pull_request,3799,https://github.com/erdemedeiros,0,issue,3787,https://github.com/erdemedeiros,0,other
grpc/grpc-web,23869,https://github.com/grpc/grpc-web/issues/769#issuecomment-606953600,issue,769,https://github.com/reselbob,3,issue,347,https://github.com/dv29,6,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/pull/3465#issuecomment-711984538,pull_request,3465,https://github.com/abawchen,9,pull_request,3544,https://github.com/harupy,3,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/issues/2770#issuecomment-623761982,issue,2770,https://github.com/persas,8,pull_request,2186,https://github.com/harupy,2,other
mlflow/mlflow,38589,https://github.com/mlflow/mlflow/pull/2908#issue-633133325,pull_request,2908,https://github.com/smurching,5,pull_request,2700,https://github.com/aarondav,3,other
