repo_name,component_id,url,nodes,total_comment_count,component_size
mlflow/mlflow,37583,https://github.com/mlflow/mlflow/issues/5960,"[5960, 5969]",10,2
mlflow/mlflow,37598,https://github.com/mlflow/mlflow/issues/5934,"[5934, 5943]",5,2
mlflow/mlflow,37599,https://github.com/mlflow/mlflow/issues/5938,"[5938, 5942]",0,2
mlflow/mlflow,37605,https://github.com/mlflow/mlflow/issues/5932,"[5932, 5886, 5919]",0,3
mlflow/mlflow,37606,https://github.com/mlflow/mlflow/issues/5913,"[5913, 5930]",4,2
mlflow/mlflow,37607,https://github.com/mlflow/mlflow/issues/5929,"[5929, 5915]",14,2
mlflow/mlflow,37610,https://github.com/mlflow/mlflow/issues/5923,"[5923, 5926]",13,2
mlflow/mlflow,37614,https://github.com/mlflow/mlflow/issues/5921,"[5921, 5850]",6,2
mlflow/mlflow,37619,https://github.com/mlflow/mlflow/issues/5670,"[5670, 5708, 5680, 5875, 5914]",64,5
mlflow/mlflow,37620,https://github.com/mlflow/mlflow/issues/5912,"[5912, 5904]",3,2
mlflow/mlflow,37622,https://github.com/mlflow/mlflow/issues/5897,"[5897, 5839, 5905, 5910]",51,4
mlflow/mlflow,37623,https://github.com/mlflow/mlflow/issues/5882,"[5882, 5884, 5909]",14,3
mlflow/mlflow,37624,https://github.com/mlflow/mlflow/issues/5907,"[5907, 5899]",16,2
mlflow/mlflow,37625,https://github.com/mlflow/mlflow/issues/5888,"[5888, 5906]",2,2
mlflow/mlflow,37632,https://github.com/mlflow/mlflow/issues/5892,"[5892, 5893]",19,2
mlflow/mlflow,37635,https://github.com/mlflow/mlflow/issues/5872,"[5872, 5889, 5718, 5871]",29,4
mlflow/mlflow,37640,https://github.com/mlflow/mlflow/issues/5878,"[5878, 5879]",10,2
mlflow/mlflow,37643,https://github.com/mlflow/mlflow/issues/5840,"[5840, 5873, 5841, 5845, 5656]",73,5
mlflow/mlflow,37644,https://github.com/mlflow/mlflow/issues/5865,"[5865, 5869, 5870, 5863]",2,4
mlflow/mlflow,37648,https://github.com/mlflow/mlflow/issues/5861,"[5861, 5711]",3,2
mlflow/mlflow,37650,https://github.com/mlflow/mlflow/issues/5849,"[5849, 5859]",14,2
mlflow/mlflow,37654,https://github.com/mlflow/mlflow/issues/5851,"[5851, 5853]",13,2
mlflow/mlflow,37660,https://github.com/mlflow/mlflow/issues/5791,"[5791, 5842, 5676, 5703]",50,4
mlflow/mlflow,37662,https://github.com/mlflow/mlflow/issues/5816,"[5816, 5817, 5837, 5798]",46,4
mlflow/mlflow,37669,https://github.com/mlflow/mlflow/issues/5828,"[5828, 5829, 5822]",20,3
mlflow/mlflow,37672,https://github.com/mlflow/mlflow/issues/5824,"[5824, 5820]",19,2
mlflow/mlflow,37682,https://github.com/mlflow/mlflow/issues/5808,"[5808, 5804]",6,2
mlflow/mlflow,37683,https://github.com/mlflow/mlflow/issues/5786,"[5786, 5806]",6,2
mlflow/mlflow,37685,https://github.com/mlflow/mlflow/issues/5803,"[5803, 5709, 5797]",47,3
