repo_name,link_url,node_1_type,node_1_id,node_1_author,node_1_num_comment,node_2_type,node_2_id,node_2_author,node_2_num_commentslink_type
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2201#issue-348746219,pull_request,2201,https://github.com/porsager,1,pull_request,2207,https://github.com/porsager,13,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2766#issue-1218409639,pull_request,2766,https://github.com/JAForbes,8,pull_request,2206,https://github.com/GAumala,0,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2201#issue-348746219,pull_request,2201,https://github.com/porsager,1,pull_request,2207,https://github.com/porsager,13,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2209#issuecomment-416073426,issue,2209,https://github.com/caleb531,2,issue,545,https://github.com/farzher,56,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2212#issue-354346830,issue,2212,https://github.com/derMart,5,issue,1926,https://github.com/roa-nyx,9,duplicate
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2215#issue-354678308,issue,2215,https://github.com/dead-claudia,2,pull_request,2213,https://github.com/dead-claudia,3,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2243#issue-368351730,issue,2243,https://github.com/dead-claudia,1,pull_request,2214,https://github.com/dead-claudia,4,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2280#issue-377173986,issue,2280,https://github.com/dead-claudia,2,issue,2215,https://github.com/dead-claudia,2,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2216#issuecomment-433735938,issue,2216,https://github.com/dead-claudia,3,issue,2262,https://github.com/spacejack,8,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/196#issue-40132396,pull_request,196,https://github.com/Zolmeister,1,pull_request,169,https://github.com/Zolmeister,12,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2148#issuecomment-416759975,issue,2148,https://github.com/futurist,31,pull_request,2219,https://github.com/dead-claudia,13,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2220#issuecomment-417834417,issue,2220,https://github.com/porsager,9,pull_request,2221,https://github.com/dead-claudia,8,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2220#issuecomment-417834417,issue,2220,https://github.com/porsager,9,pull_request,2221,https://github.com/dead-claudia,8,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2243#issue-368351730,issue,2243,https://github.com/dead-claudia,1,pull_request,2222,https://github.com/dead-claudia,3,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2291#issue-379547842,issue,2291,https://github.com/spacejack,3,issue,2224,https://github.com/graforlock,9,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2380#issuecomment-468903083,issue,2380,https://github.com/dead-claudia,3,issue,2226,https://github.com/benmerckx,0,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2232#issuecomment-429577616,issue,2232,https://github.com/starsolaris,7,pull_request,2194,https://github.com/porsager,24,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/1937#issuecomment-433904778,issue,1937,https://github.com/andraaspar,34,pull_request,2241,https://github.com/michaek,3,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2243#issue-368351730,issue,2243,https://github.com/dead-claudia,1,pull_request,2247,https://github.com/dead-claudia,2,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/196#issue-40132396,pull_request,196,https://github.com/Zolmeister,1,pull_request,169,https://github.com/Zolmeister,12,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2245#issuecomment-429178813,issue,2245,https://github.com/Niklas81,14,pull_request,2247,https://github.com/dead-claudia,2,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2246#issuecomment-429605280,pull_request,2246,https://github.com/dead-claudia,10,issue,2248,https://github.com/ACXgit,5,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2243#issue-368351730,issue,2243,https://github.com/dead-claudia,1,pull_request,2247,https://github.com/dead-claudia,2,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2248#issuecomment-502763875,issue,2248,https://github.com/ACXgit,5,issue,2434,https://github.com/yossicadaner,2,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/198#issue-40193486,pull_request,198,https://github.com/Zolmeister,4,pull_request,197,https://github.com/Zolmeister,12,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2250#issuecomment-438480448,pull_request,2250,https://github.com/dead-claudia,29,pull_request,2294,https://github.com/CreaturesInUnitards,1,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/198#issue-40193486,pull_request,198,https://github.com/Zolmeister,4,pull_request,197,https://github.com/Zolmeister,12,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2251#issuecomment-429667713,pull_request,2251,https://github.com/dead-claudia,1,pull_request,2247,https://github.com/dead-claudia,2,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/1016#issue-149007998,pull_request,1016,https://github.com/gyandeeps,18,issue,199,https://github.com/kvanbere,22,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2262#issuecomment-433711550,issue,2262,https://github.com/spacejack,8,pull_request,2260,https://github.com/spacejack,1,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2216#issuecomment-433735938,issue,2216,https://github.com/dead-claudia,3,issue,2262,https://github.com/spacejack,8,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2250#issuecomment-433736737,pull_request,2250,https://github.com/dead-claudia,29,pull_request,2265,https://github.com/dead-claudia,0,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/1937#issuecomment-434068524,issue,1937,https://github.com/andraaspar,34,issue,2270,https://github.com/dead-claudia,0,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/1937#issuecomment-434135682,issue,1937,https://github.com/andraaspar,34,issue,2273,https://github.com/dead-claudia,7,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2050#issuecomment-435102748,issue,2050,https://github.com/dead-claudia,12,issue,2275,https://github.com/barneycarroll,14,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/228#issue-41336657,issue,228,https://github.com/dudeman,4,pull_request,734,https://github.com/dgilland,0,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2278#issue-377173848,issue,2278,https://github.com/dead-claudia,8,issue,2295,https://github.com/dead-claudia,25,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2278#issue-377173848,issue,2278,https://github.com/dead-claudia,8,issue,2279,https://github.com/dead-claudia,8,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2280#issue-377173986,issue,2280,https://github.com/dead-claudia,2,issue,2295,https://github.com/dead-claudia,25,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2281#issue-377174018,issue,2281,https://github.com/dead-claudia,4,issue,2295,https://github.com/dead-claudia,25,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2282#issuecomment-436065655,issue,2282,https://github.com/dead-claudia,5,issue,2284,https://github.com/dead-claudia,7,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2284#issue-377576404,issue,2284,https://github.com/dead-claudia,7,pull_request,2317,https://github.com/dead-claudia,0,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/1771#issuecomment-436756240,issue,1771,https://github.com/kurtmilam,20,pull_request,2286,https://github.com/dead-claudia,4,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2287#issue-378457690,pull_request,2287,https://github.com/dead-claudia,5,issue,1937,https://github.com/andraaspar,34,fixes
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/241#issue-42406671,pull_request,241,https://github.com/g00fy-,1,pull_request,264,https://github.com/zzmp,10,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2291#issue-379547842,issue,2291,https://github.com/spacejack,3,pull_request,2292,https://github.com/spacejack,5,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2293#issuecomment-438407316,issue,2293,https://github.com/CreaturesInUnitards,6,pull_request,2292,https://github.com/spacejack,5,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2294#issue-380392336,pull_request,2294,https://github.com/CreaturesInUnitards,1,issue,2293,https://github.com/CreaturesInUnitards,6,fixes
MithrilJS/mithril.js,,pull_request,2294,https://github.com/CreaturesInUnitards,1,issue,2295,https://github.com/dead-claudia,25,other
