repo_name,component_size,component_frequency,edge_count,max_possible,subgraph_density
BurntSushi-toml,4,3,10,36,0.277777778
BurntSushi-toml,5,2,9,40,0.225
BurntSushi-toml,6,1,5,30,0.166666667
BurntSushi-toml,8,1,10,56,0.178571429
BurntSushi-toml,9,2,18,144,0.125
BurntSushi-toml,10,1,11,90,0.122222222
BurntSushi-toml,30,1,41,870,0.047126437
casesandberg-react-color,1,469,0,0,0
casesandberg-react-color,2,73,78,146,0.534246575
casesandberg-react-color,3,19,42,114,0.368421053
casesandberg-react-color,4,8,33,96,0.34375
casesandberg-react-color,5,4,19,80,0.2375
casesandberg-react-color,6,2,10,60,0.166666667
casesandberg-react-color,8,1,7,56,0.125
casesandberg-react-color,11,1,13,110,0.118181818
casesandberg-react-color,44,1,56,1892,0.029598309
casesandberg-react-color,61,1,82,3660,0.022404372
cglib-cglib,1,127,0,0,0
cglib-cglib,2,12,14,24,0.583333333
cglib-cglib,3,3,6,18,0.333333333
cglib-cglib,4,1,4,12,0.333333333
cglib-cglib,5,1,7,20,0.35
cglib-cglib,6,1,9,30,0.3
cglib-cglib,8,1,12,56,0.214285714
cglib-cglib,21,1,26,420,0.061904762
chaijs-chai,1,688,0,0,0
chaijs-chai,450,1,825,202050,0.004083148
chaijs-chai,3,21,56,126,0.444444444
chaijs-chai,4,9,30,108,0.277777778
chaijs-chai,5,4,19,80,0.2375
chaijs-chai,6,2,11,60,0.183333333
chaijs-chai,7,1,12,42,0.285714286
chaijs-chai,8,1,19,56,0.339285714
chaijs-chai,2,81,88,162,0.543209877
chaijs-chai,14,1,16,182,0.087912088
cruffenach-CRToast,1,150,0,0,0
cruffenach-CRToast,2,15,17,30,0.566666667
cruffenach-CRToast,3,5,12,30,0.4
cruffenach-CRToast,4,3,9,36,0.25
cruffenach-CRToast,6,1,8,30,0.266666667
cruffenach-CRToast,7,1,6,42,0.142857143
cruffenach-CRToast,9,1,8,72,0.111111111
cruffenach-CRToast,10,1,10,90,0.111111111
deepinsight-insightface,1,1812,0,0,0
deepinsight-insightface,2,47,48,94,0.510638298
deepinsight-insightface,3,13,26,78,0.333333333
deepinsight-insightface,4,4,13,48,0.270833333
deepinsight-insightface,5,2,9,40,0.225
deepinsight-insightface,6,2,15,60,0.25
deepinsight-insightface,7,2,12,84,0.142857143
deepinsight-insightface,8,2,14,112,0.125
deepinsight-insightface,9,1,8,72,0.111111111
deepinsight-insightface,13,1,12,156,0.076923077
deepinsight-insightface,15,1,17,210,0.080952381
deployphp-deployer,1,1699,0,0,0
deployphp-deployer,34,1,46,1122,0.040998217
deployphp-deployer,3,61,140,366,0.382513661
deployphp-deployer,4,22,76,264,0.287878788
deployphp-deployer,5,11,53,220,0.240909091
